epoch,train_loss,valid_loss,accuracy
1,0.371705,0.356361,0.839066
2,0.369125,0.354209,0.836149
3,0.366023,0.357419,0.827856
4,0.357930,0.360134,0.835842
5,0.373499,0.354653,0.829853
6,0.355564,0.349671,0.836763
7,0.373871,0.362451,0.839988
8,0.353261,0.346455,0.837684
9,0.350744,0.345653,0.837377
10,0.366604,0.346991,0.837838
11,0.354986,0.345755,0.839834
12,0.346326,0.343099,0.839681
13,0.348960,0.343563,0.842138
14,0.354451,0.345161,0.841216
15,0.344935,0.344758,0.844134
16,0.343323,0.344835,0.843366
17,0.344550,0.345121,0.843366
18,0.337159,0.343554,0.843827
19,0.329731,0.343038,0.841216
20,0.336838,0.343381,0.843366
