epoch,train_loss,valid_loss,accuracy
1,0.578425,0.638915,0.776720
2,0.498283,0.443120,0.794380
3,0.428771,0.361337,0.831695
4,0.393670,0.386520,0.819871
5,0.374195,0.358337,0.834459
6,0.363076,0.360854,0.832770
7,0.355656,0.366545,0.832770
8,0.350448,0.367111,0.829085
9,0.346698,0.368224,0.832310
10,0.343103,0.355045,0.839066
11,0.341044,0.360361,0.832463
12,0.338890,0.360877,0.834920
13,0.337498,0.359239,0.835688
14,0.333637,0.359419,0.835381
15,0.329513,0.360870,0.833999
16,0.326876,0.362622,0.831542
17,0.324241,0.364676,0.832924
18,0.320957,0.363980,0.834613
19,0.317674,0.364247,0.835688
20,0.316142,0.364668,0.835842
