epoch,train_loss,valid_loss,accuracy
1,0.560466,0.507432,0.812654
2,0.434600,0.356622,0.833538
3,0.382855,0.375520,0.826935
4,0.364527,0.360213,0.835074
5,0.355941,0.354748,0.835534
6,0.353322,0.364225,0.827396
7,0.352701,0.362361,0.826014
8,0.350568,0.353612,0.837531
9,0.347308,0.368295,0.826935
10,0.345462,0.362534,0.830774
11,0.344945,0.351706,0.836609
12,0.343422,0.352763,0.831849
13,0.339533,0.352484,0.835074
14,0.338117,0.353037,0.837531
15,0.334933,0.351705,0.837684
16,0.332100,0.353794,0.837838
17,0.328014,0.354850,0.837224
18,0.325202,0.354802,0.837991
19,0.323795,0.355217,0.837531
20,0.322712,0.355550,0.837531
