epoch,train_loss,valid_loss,accuracy
1,0.366852,0.364209,0.828163
2,0.356574,0.363151,0.831695
3,0.368609,0.370200,0.827396
4,0.365907,0.367941,0.829699
5,0.363377,0.365255,0.830620
6,0.363419,0.366985,0.833538
7,0.362202,0.381037,0.809889
8,0.340989,0.366574,0.836149
9,0.349038,0.355546,0.834767
10,0.351868,0.355205,0.837070
11,0.363295,0.354805,0.836609
12,0.334378,0.358286,0.835074
13,0.344400,0.355633,0.836149
14,0.347212,0.354226,0.837838
15,0.341670,0.353657,0.834306
16,0.345587,0.354952,0.836763
17,0.337037,0.357125,0.836916
18,0.330444,0.354077,0.836916
19,0.331822,0.353915,0.837531
20,0.330097,0.354306,0.837377
