epoch,train_loss,valid_loss,accuracy
1,0.383631,0.366542,0.832310
2,0.367258,0.359928,0.830620
3,0.370512,0.367802,0.821714
4,0.366028,0.366783,0.829545
5,0.360782,0.361984,0.831081
6,0.361369,0.360831,0.833692
7,0.356596,0.365372,0.826321
8,0.357737,0.362438,0.824478
9,0.352249,0.373893,0.815878
10,0.347151,0.363665,0.826321
11,0.358744,0.356753,0.833538
12,0.351743,0.355444,0.835227
13,0.353795,0.353546,0.833077
14,0.346563,0.354818,0.831542
15,0.335564,0.354794,0.834920
16,0.336597,0.353946,0.833385
17,0.335396,0.355409,0.833231
18,0.336339,0.356378,0.833999
19,0.329802,0.355982,0.832924
20,0.337721,0.356300,0.832770
