epoch,train_loss,valid_loss,accuracy
1,0.362935,0.361588,0.832002
2,0.361749,0.359536,0.833077
3,0.364620,0.363540,0.826321
4,0.365115,0.355166,0.834306
5,0.363041,0.350875,0.835381
6,0.358252,0.352661,0.836302
7,0.353233,0.352088,0.838606
8,0.352530,0.353590,0.834306
9,0.360072,0.352844,0.837991
10,0.356323,0.350159,0.837224
11,0.348641,0.349878,0.836149
12,0.353620,0.350013,0.838452
13,0.350645,0.348259,0.838759
14,0.338756,0.348772,0.838452
15,0.328144,0.351234,0.838145
16,0.348122,0.351842,0.837377
17,0.344252,0.350714,0.835381
18,0.330375,0.350973,0.839527
19,0.340148,0.350308,0.840141
20,0.324903,0.350504,0.839220
