epoch,train_loss,valid_loss,accuracy
1,0.458993,0.386343,0.823403
2,0.373305,0.385392,0.812346
3,0.361456,0.379762,0.814803
4,0.355619,0.360876,0.830313
5,0.354724,0.359616,0.834459
6,0.354445,0.383428,0.818950
7,0.349464,0.377487,0.831081
8,0.348596,0.357594,0.833999
9,0.348608,0.365075,0.835534
10,0.344968,0.371426,0.829238
11,0.343831,0.358272,0.836456
12,0.340072,0.358062,0.835688
13,0.340459,0.354910,0.833692
14,0.337966,0.360165,0.835227
15,0.330998,0.359605,0.839066
16,0.327984,0.361291,0.837991
17,0.324448,0.361581,0.837531
18,0.324117,0.364187,0.835995
19,0.317808,0.366667,0.834459
20,0.319795,0.366616,0.835074
