epoch,train_loss,valid_loss,accuracy
1,0.525914,0.481404,0.829238
2,0.429120,0.359778,0.834306
3,0.380253,0.351284,0.840141
4,0.366131,0.355980,0.832463
5,0.359023,0.356385,0.840602
6,0.355384,0.357376,0.839373
7,0.354649,0.347127,0.830927
8,0.352274,0.348636,0.837684
9,0.352493,0.347067,0.840141
10,0.348914,0.343828,0.838913
11,0.347113,0.352122,0.837070
12,0.345347,0.349579,0.842445
13,0.342602,0.344396,0.838913
14,0.339776,0.347037,0.840295
15,0.337559,0.347908,0.838145
16,0.334146,0.348622,0.840448
17,0.329539,0.352734,0.838145
18,0.324982,0.352099,0.838452
19,0.325301,0.353678,0.840756
20,0.323187,0.353211,0.841063
