epoch,train_loss,valid_loss,accuracy
1,0.379309,0.354663,0.838630
2,0.370069,0.350838,0.834638
3,0.363554,0.351487,0.839705
4,0.352153,0.361293,0.830032
5,0.350902,0.346464,0.837402
6,0.365560,0.345829,0.841241
7,0.367043,0.348824,0.836634
8,0.354197,0.346191,0.840780
9,0.365410,0.347969,0.836481
10,0.348105,0.343771,0.843851
11,0.351459,0.348369,0.838784
12,0.355504,0.343041,0.843083
13,0.354472,0.349347,0.846000
14,0.359482,0.352475,0.842930
15,0.343068,0.344198,0.841394
16,0.344999,0.341495,0.845079
17,0.338675,0.342101,0.840473
18,0.337524,0.344038,0.841701
19,0.338755,0.341597,0.842930
20,0.338389,0.342160,0.843544
