epoch,train_loss,valid_loss,accuracy
1,0.393392,0.355052,0.837531
2,0.365028,0.359612,0.829853
3,0.358507,0.354529,0.835688
4,0.359668,0.349303,0.833538
5,0.355431,0.350455,0.837991
6,0.353223,0.348324,0.840909
7,0.352589,0.353031,0.835842
8,0.355847,0.351592,0.839220
9,0.349176,0.346994,0.836149
10,0.348821,0.344642,0.842598
11,0.350644,0.344227,0.838606
12,0.347676,0.344189,0.837531
13,0.353132,0.345308,0.840141
14,0.343604,0.343293,0.839988
15,0.341584,0.342030,0.842138
16,0.337968,0.342326,0.843827
17,0.335993,0.344596,0.839681
18,0.337994,0.344046,0.841523
19,0.335029,0.344525,0.841677
20,0.331603,0.344692,0.841984
