epoch,train_loss,valid_loss,accuracy
1,0.400022,0.361778,0.835713
2,0.367714,0.359251,0.833103
3,0.365421,0.352713,0.834485
4,0.360806,0.353160,0.837556
5,0.354785,0.356836,0.833717
6,0.353981,0.349416,0.836327
7,0.360997,0.365085,0.836941
8,0.353432,0.348270,0.837709
9,0.354507,0.347368,0.836020
10,0.350836,0.346210,0.841241
11,0.346239,0.343151,0.841087
12,0.342185,0.339735,0.844618
13,0.347854,0.344341,0.837709
14,0.342165,0.340737,0.843851
15,0.342123,0.340000,0.845693
16,0.342407,0.340022,0.843237
17,0.341328,0.341063,0.845386
18,0.336593,0.340447,0.843851
19,0.337840,0.340628,0.845540
20,0.332456,0.340702,0.844004
