epoch,train_loss,valid_loss,accuracy
1,0.404424,0.358814,0.831388
2,0.362616,0.359287,0.830467
3,0.361804,0.353641,0.833692
4,0.363174,0.369543,0.823556
5,0.356687,0.359675,0.832310
6,0.354304,0.353264,0.836916
7,0.353638,0.353051,0.835995
8,0.345774,0.350741,0.839527
9,0.352253,0.360751,0.832156
10,0.347150,0.351496,0.835534
11,0.355601,0.351110,0.834767
12,0.338695,0.350885,0.836763
13,0.337842,0.352858,0.840295
14,0.340482,0.349476,0.839373
15,0.341252,0.350923,0.840448
16,0.337101,0.350734,0.840448
17,0.335073,0.350505,0.837684
18,0.336591,0.352104,0.839373
19,0.332133,0.353507,0.837838
20,0.327333,0.352258,0.837838
