epoch,train_loss,valid_loss,accuracy
1,0.376680,0.365748,0.824171
2,0.361313,0.364251,0.828931
3,0.363168,0.363316,0.832924
4,0.370267,0.372680,0.827549
5,0.373171,0.360733,0.835381
6,0.365908,0.360453,0.831695
7,0.357649,0.362137,0.837531
8,0.350444,0.385254,0.810657
9,0.360359,0.357996,0.834920
10,0.344080,0.392062,0.818796
11,0.345900,0.356417,0.835381
12,0.348716,0.360780,0.832156
13,0.344122,0.359148,0.833538
14,0.343869,0.369174,0.831081
15,0.342661,0.463716,0.831388
16,0.343078,0.363619,0.832924
17,0.341875,0.356853,0.830313
18,0.333499,0.354543,0.830160
19,0.327373,0.358786,0.830927
20,0.328369,0.361265,0.829085
