epoch,train_loss,valid_loss,accuracy
1,0.561816,0.515480,0.801751
2,0.439522,0.367656,0.833077
3,0.382371,0.362398,0.830774
4,0.363750,0.361192,0.829238
5,0.355199,0.358346,0.831388
6,0.352305,0.355140,0.836302
7,0.351113,0.357252,0.834306
8,0.348082,0.355393,0.832770
9,0.346609,0.362912,0.827856
10,0.343458,0.355820,0.834920
11,0.342192,0.359217,0.833538
12,0.341622,0.356700,0.833077
13,0.336453,0.355753,0.832156
14,0.334544,0.361738,0.832310
15,0.332084,0.360704,0.834613
16,0.327532,0.362660,0.832156
17,0.323232,0.361092,0.832310
18,0.319795,0.363961,0.831235
19,0.317665,0.364263,0.830620
20,0.316156,0.364436,0.830620
