epoch,train_loss,valid_loss,accuracy
1,0.599046,0.616423,0.790387
2,0.507806,0.387624,0.823556
3,0.432458,0.389625,0.812807
4,0.395349,0.361181,0.833231
5,0.374829,0.375745,0.824017
6,0.364944,0.402162,0.806358
7,0.358147,0.369835,0.833692
8,0.353970,0.361971,0.832002
9,0.349369,0.366640,0.834152
10,0.345782,0.367829,0.824324
11,0.342390,0.361995,0.832002
12,0.338614,0.364276,0.828778
13,0.335068,0.366821,0.829392
14,0.330601,0.362497,0.829085
15,0.325388,0.366385,0.826628
16,0.320196,0.373824,0.827856
17,0.314545,0.377932,0.826935
18,0.309574,0.386138,0.824785
19,0.304045,0.387725,0.824478
20,0.300285,0.388958,0.824171
