epoch,train_loss,valid_loss,accuracy
1,0.572295,0.602386,0.775526
2,0.491404,0.385481,0.820973
3,0.425932,0.407420,0.811608
4,0.393989,0.348966,0.842315
5,0.376146,0.348282,0.839398
6,0.365539,0.351435,0.838784
7,0.359266,0.350230,0.838477
8,0.355121,0.347637,0.843544
9,0.351552,0.349400,0.840626
10,0.348159,0.349840,0.841241
11,0.345572,0.354185,0.838477
12,0.343042,0.350444,0.842315
13,0.339202,0.346451,0.844772
14,0.334693,0.347135,0.843544
15,0.331332,0.348913,0.838016
16,0.326773,0.351553,0.842315
17,0.322319,0.350356,0.843851
18,0.317105,0.354258,0.841087
19,0.312565,0.355807,0.840626
20,0.309183,0.356695,0.841394
