epoch,train_loss,valid_loss,accuracy
1,0.385939,0.369438,0.828010
2,0.366975,0.362026,0.830467
3,0.366100,0.377231,0.823249
4,0.361407,0.367954,0.821407
5,0.361681,0.361304,0.831542
6,0.364621,0.362144,0.831235
7,0.347967,0.364718,0.833231
8,0.353289,0.365102,0.829238
9,0.358199,0.357602,0.834767
10,0.351441,0.354685,0.833845
11,0.356656,0.356105,0.835688
12,0.348196,0.364472,0.830006
13,0.352246,0.355353,0.836302
14,0.342478,0.356859,0.837838
15,0.340600,0.354720,0.837531
16,0.341016,0.356254,0.837377
17,0.334831,0.355582,0.838606
18,0.322203,0.355667,0.839527
19,0.327041,0.355219,0.840602
20,0.328169,0.355125,0.840141
