epoch,train_loss,valid_loss,accuracy
1,0.596950,0.698649,0.418765
2,0.518768,0.442348,0.830313
3,0.441277,0.381479,0.816800
4,0.400054,0.384846,0.821253
5,0.378275,0.358449,0.834767
6,0.365110,0.369397,0.826014
7,0.357244,0.361189,0.834306
8,0.352237,0.359874,0.829853
9,0.347533,0.367553,0.826935
10,0.344834,0.361564,0.830160
11,0.341388,0.362783,0.834306
12,0.339022,0.360008,0.832156
13,0.336385,0.357738,0.831542
14,0.333116,0.357867,0.831081
15,0.329955,0.360843,0.832002
16,0.326982,0.360942,0.830006
17,0.323085,0.364211,0.830774
18,0.320007,0.365506,0.829392
19,0.318260,0.365479,0.829853
20,0.316110,0.365343,0.829545
