epoch,train_loss,valid_loss,accuracy
1,0.452706,0.384287,0.829545
2,0.373701,0.377077,0.822789
3,0.360606,0.366727,0.829545
4,0.355532,0.359421,0.836609
5,0.355679,0.361484,0.829085
6,0.353743,0.362955,0.831849
7,0.351617,0.365246,0.825399
8,0.351818,0.357690,0.832463
9,0.348151,0.365527,0.824324
10,0.346265,0.354520,0.833999
11,0.342723,0.356999,0.828317
12,0.337982,0.360580,0.826935
13,0.341444,0.355016,0.833077
14,0.337442,0.356382,0.832617
15,0.333616,0.360886,0.830927
16,0.327928,0.362042,0.830927
17,0.323319,0.362802,0.830620
18,0.323625,0.366800,0.830160
19,0.316690,0.368624,0.829545
20,0.316547,0.367883,0.830006
