epoch,train_loss,valid_loss,accuracy
1,0.380794,0.352963,0.836788
2,0.367107,0.348181,0.839245
3,0.351924,0.351115,0.836020
4,0.373982,0.350154,0.836941
5,0.375661,0.350304,0.838784
6,0.358806,0.356016,0.830339
7,0.355453,0.353893,0.842008
8,0.355238,0.350129,0.837709
9,0.365275,0.350197,0.842622
10,0.364641,0.350986,0.840934
11,0.358276,0.346059,0.844465
12,0.350375,0.345377,0.842930
13,0.351743,0.342460,0.842469
14,0.348906,0.339617,0.843851
15,0.335254,0.341939,0.840319
16,0.337785,0.340748,0.843390
17,0.341637,0.340583,0.844465
18,0.343161,0.342941,0.844311
19,0.341045,0.340790,0.845847
20,0.343347,0.340931,0.845847
