epoch,train_loss,valid_loss,accuracy
1,0.469865,0.387294,0.830032
2,0.384447,0.361076,0.830032
3,0.368238,0.372394,0.819592
4,0.361660,0.352413,0.839705
5,0.358737,0.364045,0.829879
6,0.355843,0.356660,0.831414
7,0.354097,0.347120,0.838630
8,0.350022,0.349338,0.837709
9,0.354413,0.349607,0.839398
10,0.349595,0.344083,0.846000
11,0.344768,0.342183,0.841855
12,0.350006,0.343308,0.846154
13,0.342944,0.341931,0.841548
14,0.339426,0.342114,0.842930
15,0.339600,0.346262,0.840473
16,0.333046,0.342842,0.845233
17,0.330748,0.344773,0.844618
18,0.326689,0.346028,0.843083
19,0.324482,0.346508,0.842315
20,0.323152,0.346536,0.842930
