epoch,train_loss,valid_loss,accuracy
1,0.481837,0.412986,0.819103
2,0.377088,0.369732,0.826014
3,0.358184,0.361680,0.830927
4,0.355548,0.369782,0.833692
5,0.352472,0.367033,0.830620
6,0.355054,0.367962,0.832002
7,0.348611,0.365928,0.824631
8,0.348269,0.355348,0.837684
9,0.347392,0.355411,0.836302
10,0.346101,0.356398,0.835995
11,0.341497,0.355766,0.835534
12,0.340966,0.358166,0.833999
13,0.339700,0.351941,0.839681
14,0.335952,0.352013,0.840141
15,0.335212,0.359914,0.834767
16,0.331281,0.355142,0.837531
17,0.330305,0.355855,0.838452
18,0.325632,0.357595,0.838913
19,0.321495,0.358306,0.839527
20,0.320187,0.359606,0.838913
