epoch,train_loss,valid_loss,accuracy
1,0.604767,0.620983,0.797912
2,0.526139,0.404982,0.833077
3,0.447213,0.351135,0.831542
4,0.403405,0.350799,0.834613
5,0.381593,0.352717,0.831081
6,0.368627,0.347699,0.841216
7,0.361457,0.351919,0.828624
8,0.355927,0.350919,0.837838
9,0.351088,0.345617,0.840909
10,0.347679,0.345352,0.837531
11,0.344542,0.345454,0.840141
12,0.341490,0.347238,0.836609
13,0.339953,0.346072,0.839527
14,0.337572,0.347228,0.837531
15,0.333531,0.347918,0.839220
16,0.330003,0.347038,0.837991
17,0.327387,0.347863,0.838759
18,0.323395,0.348136,0.839373
19,0.320618,0.348991,0.840295
20,0.318342,0.349194,0.839681
