epoch,train_loss,valid_loss,accuracy
1,0.557365,0.497570,0.800829
2,0.437934,0.364319,0.825706
3,0.380363,0.372144,0.828471
4,0.362326,0.366720,0.829853
5,0.353169,0.372620,0.825706
6,0.352573,0.380167,0.818796
7,0.350061,0.361560,0.829699
8,0.348728,0.360339,0.832770
9,0.345566,0.362867,0.828931
10,0.343961,0.362150,0.835227
11,0.342314,0.367838,0.825860
12,0.341088,0.358382,0.835074
13,0.338341,0.357020,0.836609
14,0.336248,0.355920,0.837377
15,0.333610,0.358080,0.837838
16,0.330657,0.359674,0.837991
17,0.326918,0.358907,0.838606
18,0.324568,0.360728,0.837991
19,0.323748,0.360664,0.837838
20,0.321095,0.360774,0.837531
