epoch,train_loss,valid_loss,accuracy
1,0.564285,0.648531,0.793612
2,0.480498,0.417277,0.823096
3,0.418325,0.399390,0.803593
4,0.388793,0.362275,0.831695
5,0.372390,0.375592,0.824939
6,0.362825,0.360607,0.834767
7,0.356925,0.370374,0.828931
8,0.350396,0.361178,0.833845
9,0.347224,0.367408,0.833999
10,0.343185,0.361654,0.833231
11,0.341157,0.371977,0.836302
12,0.338703,0.360269,0.831695
13,0.336209,0.363726,0.834306
14,0.331722,0.372968,0.829085
15,0.327127,0.365635,0.838606
16,0.321216,0.377912,0.829853
17,0.315268,0.376744,0.831235
18,0.309570,0.387013,0.829699
19,0.304764,0.388430,0.830774
20,0.301039,0.388292,0.830160
