epoch,train_loss,valid_loss,accuracy
1,0.499499,0.405577,0.828317
2,0.380630,0.358547,0.828624
3,0.365463,0.355762,0.832617
4,0.357414,0.356613,0.836456
5,0.352505,0.354920,0.834306
6,0.355282,0.349736,0.838145
7,0.351135,0.355453,0.833845
8,0.353334,0.350864,0.838145
9,0.348920,0.350431,0.837991
10,0.347120,0.350995,0.837684
11,0.346647,0.351234,0.833231
12,0.341880,0.354037,0.830620
13,0.342275,0.354689,0.834920
14,0.335828,0.353408,0.840602
15,0.334704,0.353490,0.837377
16,0.329118,0.353866,0.839834
17,0.329017,0.356320,0.838298
18,0.328710,0.357354,0.836609
19,0.322333,0.358761,0.837224
20,0.323828,0.358773,0.837991
