epoch,train_loss,valid_loss,accuracy
1,0.390356,0.369315,0.830467
2,0.358097,0.366638,0.828471
3,0.355371,0.363924,0.830774
4,0.358368,0.363036,0.828163
5,0.353428,0.366738,0.825860
6,0.359420,0.361171,0.825706
7,0.351205,0.372204,0.818642
8,0.354062,0.354334,0.832310
9,0.346197,0.368487,0.826935
10,0.354761,0.353302,0.835842
11,0.347200,0.357456,0.833999
12,0.344536,0.357113,0.833845
13,0.344106,0.357470,0.832002
14,0.342135,0.356306,0.831695
15,0.339409,0.355321,0.835227
16,0.333502,0.356288,0.832617
17,0.334230,0.357411,0.833538
18,0.336091,0.357708,0.833692
19,0.326960,0.359881,0.832463
20,0.323634,0.359860,0.832002
