epoch,train_loss,valid_loss,accuracy
1,0.379351,0.363944,0.832770
2,0.368336,0.354255,0.837224
3,0.363927,0.360161,0.830313
4,0.372220,0.349857,0.838145
5,0.365991,0.347516,0.837377
6,0.352626,0.351792,0.839834
7,0.348842,0.354387,0.836302
8,0.361677,0.348563,0.840141
9,0.354183,0.349330,0.839066
10,0.351775,0.348668,0.833385
11,0.350185,0.345457,0.840909
12,0.347027,0.354957,0.839527
13,0.343327,0.342737,0.841216
14,0.342979,0.343966,0.841063
15,0.345742,0.345010,0.839834
16,0.337631,0.344900,0.841523
17,0.345363,0.344301,0.842138
18,0.334414,0.345176,0.840756
19,0.335930,0.345113,0.841216
20,0.331878,0.344929,0.841523
