epoch,train_loss,valid_loss,accuracy
1,0.410973,0.375331,0.831542
2,0.365083,0.363551,0.829392
3,0.355734,0.363341,0.828931
4,0.360025,0.360905,0.832156
5,0.359552,0.367558,0.827549
6,0.359613,0.381237,0.826167
7,0.343988,0.359363,0.835688
8,0.356065,0.354188,0.835227
9,0.347732,0.358740,0.832310
10,0.347680,0.358805,0.835995
11,0.348489,0.358245,0.837377
12,0.343474,0.361393,0.830313
13,0.340117,0.355582,0.840448
14,0.338912,0.353770,0.840756
15,0.341048,0.353960,0.837070
16,0.335344,0.354520,0.835842
17,0.334583,0.354060,0.838759
18,0.331336,0.354660,0.839220
19,0.331821,0.355425,0.837377
20,0.331272,0.355889,0.838452
