epoch,train_loss,valid_loss,accuracy
1,0.631040,0.641100,0.755719
2,0.547780,0.413665,0.834945
3,0.457611,0.350453,0.839705
4,0.408738,0.346896,0.838323
5,0.383289,0.345713,0.837556
6,0.369587,0.351996,0.837402
7,0.361615,0.345675,0.841087
8,0.355875,0.345416,0.842162
9,0.351196,0.342406,0.842162
10,0.347782,0.343784,0.841548
11,0.345738,0.346197,0.839859
12,0.343509,0.348116,0.839859
13,0.341129,0.348284,0.837249
14,0.338348,0.345061,0.840626
15,0.334993,0.345199,0.843390
16,0.332154,0.346575,0.843237
17,0.329567,0.347663,0.842930
18,0.326179,0.348650,0.841394
19,0.323450,0.348072,0.841241
20,0.321823,0.348199,0.842469
