epoch,train_loss,valid_loss,accuracy
1,0.374734,0.358592,0.830927
2,0.368053,0.365034,0.827396
3,0.357311,0.358486,0.832770
4,0.362320,0.357671,0.832002
5,0.365472,0.373975,0.824785
6,0.357573,0.352626,0.836149
7,0.357995,0.355563,0.839066
8,0.358024,0.348818,0.839988
9,0.349356,0.352805,0.838145
10,0.356553,0.349615,0.836302
11,0.358517,0.351889,0.836149
12,0.343889,0.349014,0.837377
13,0.341916,0.353835,0.837377
14,0.349142,0.351293,0.838145
15,0.344457,0.352453,0.839988
16,0.349271,0.349689,0.839527
17,0.342311,0.349768,0.839066
18,0.333666,0.350350,0.841830
19,0.334243,0.351931,0.840909
20,0.329987,0.350659,0.841370
