epoch,train_loss,valid_loss,accuracy
1,0.530342,0.468639,0.833103
2,0.427617,0.376929,0.824198
3,0.383225,0.346886,0.839245
4,0.364302,0.357101,0.832335
5,0.358556,0.348334,0.841241
6,0.354050,0.367398,0.827576
7,0.352354,0.370083,0.826194
8,0.350312,0.342099,0.841087
9,0.348876,0.352111,0.834638
10,0.346654,0.346941,0.841855
11,0.345317,0.343625,0.842469
12,0.344931,0.351622,0.841548
13,0.342476,0.344405,0.841394
14,0.339317,0.345134,0.840166
15,0.335655,0.343099,0.844311
16,0.332990,0.343075,0.844311
17,0.330699,0.344282,0.842469
18,0.328152,0.344181,0.844311
19,0.325943,0.344473,0.843083
20,0.323311,0.344651,0.842622
