epoch,train_loss,valid_loss,accuracy
1,0.465133,0.400820,0.831542
2,0.373725,0.364504,0.833999
3,0.361927,0.371068,0.823710
4,0.357297,0.363268,0.828931
5,0.356268,0.362204,0.829238
6,0.352995,0.360331,0.830620
7,0.348376,0.358676,0.832002
8,0.349209,0.357884,0.831388
9,0.350023,0.357219,0.834459
10,0.344991,0.355749,0.835534
11,0.342398,0.357460,0.834613
12,0.343252,0.356186,0.833077
13,0.339197,0.354735,0.836302
14,0.334718,0.358989,0.830774
15,0.332317,0.361426,0.830467
16,0.328431,0.360689,0.831849
17,0.326237,0.364590,0.829238
18,0.322960,0.366743,0.828624
19,0.317585,0.368009,0.828317
20,0.316605,0.367573,0.829392
