epoch,train_loss,valid_loss,accuracy
1,0.486672,0.392614,0.837095
2,0.380890,0.350177,0.839859
3,0.360261,0.354556,0.835713
4,0.355680,0.353152,0.834638
5,0.358341,0.349091,0.835867
6,0.357004,0.346868,0.839552
7,0.355150,0.350281,0.836327
8,0.353830,0.344424,0.840626
9,0.349585,0.343782,0.843544
10,0.351651,0.340873,0.844158
11,0.348229,0.347010,0.840319
12,0.346179,0.342304,0.845693
13,0.342178,0.339649,0.843544
14,0.334771,0.344754,0.840166
15,0.339527,0.342668,0.843851
16,0.335012,0.341318,0.842469
17,0.332181,0.341906,0.845386
18,0.329717,0.341241,0.845233
19,0.326363,0.341891,0.843544
20,0.327578,0.342248,0.844618
