epoch,train_loss,valid_loss,accuracy
1,0.445886,0.382949,0.825860
2,0.372344,0.362780,0.827088
3,0.361002,0.359023,0.830620
4,0.361536,0.365951,0.831695
5,0.355292,0.359669,0.826321
6,0.351134,0.369795,0.830467
7,0.353785,0.354714,0.839681
8,0.351470,0.360261,0.828778
9,0.347670,0.353211,0.833538
10,0.346409,0.359762,0.833385
11,0.347642,0.352090,0.838145
12,0.344236,0.355091,0.837991
13,0.339952,0.351923,0.840602
14,0.342330,0.348871,0.838298
15,0.334434,0.355347,0.837377
16,0.330108,0.355146,0.835534
17,0.325419,0.359235,0.839681
18,0.325871,0.359842,0.840141
19,0.323001,0.360185,0.836456
20,0.321492,0.361217,0.838145
