epoch,train_loss,valid_loss,accuracy
1,0.490615,0.394196,0.829238
2,0.375570,0.353167,0.838298
3,0.358967,0.352017,0.839834
4,0.354951,0.359830,0.835381
5,0.359552,0.355836,0.833845
6,0.354003,0.354872,0.827856
7,0.356948,0.345493,0.839527
8,0.351232,0.350766,0.839527
9,0.352518,0.345415,0.839988
10,0.348984,0.344964,0.841063
11,0.347642,0.345118,0.837838
12,0.343882,0.346761,0.835995
13,0.341548,0.344845,0.837991
14,0.340717,0.343456,0.840756
15,0.337755,0.345668,0.839527
16,0.335980,0.343989,0.838298
17,0.333435,0.345886,0.841830
18,0.329041,0.345900,0.840909
19,0.330564,0.346487,0.840909
20,0.327916,0.345926,0.839681
