epoch,train_loss,valid_loss,accuracy
1,0.448423,0.373294,0.836763
2,0.374099,0.370490,0.828931
3,0.369227,0.356133,0.833845
4,0.362904,0.354827,0.832924
5,0.359196,0.348386,0.837991
6,0.355247,0.351677,0.842445
7,0.355719,0.357420,0.821100
8,0.352781,0.349104,0.838606
9,0.351371,0.346787,0.838759
10,0.348984,0.346978,0.840909
11,0.344142,0.347344,0.840756
12,0.344299,0.341957,0.838759
13,0.342418,0.342101,0.840141
14,0.339131,0.341100,0.842291
15,0.336635,0.345527,0.842291
16,0.334499,0.346021,0.840909
17,0.328984,0.346196,0.840295
18,0.325533,0.349251,0.840448
19,0.324116,0.350044,0.840448
20,0.324223,0.351361,0.840141
